id,text
1,You are interested in the projects and plans that the United States government has concerning energy. Politicians are the people that decide these plans and they differ from state to state. You are interested in the laws and rules that surround these plans.
2,You are interested in the media representation of Enron. You want to know more about the statements and information that the company released to various media outlets. Companies spend lots of time creating their desired public image with what they give to the press.
3,You are interested in the laws that Enron had to follow. You want to know about compliance and changes in those laws and the discussions surrounding that. Exploiting the differences between different US states played a role in Enron's business model.
4,You are interested in the role that political connections to a business play in the running of that business. You want to know more about George W. Bush and his connection to Enron more specifically. You want to find out how this connection impacted the success and running of Enron.
5,"You are interested in the connections that Enron had with external bodies such as companies and institutions. You want to find out more information about the people and events organised as part of these relationships. You want to know things such as who was involved, what they did, and how the relationship was established."
6,You are interested in how people started working for Enron. You want to find out more about the recruitment processes at all levels; from graduates all the way to senior level roles. You want to know the details of how people got their jobs.
7,You are interested in the legal proceedings of Enron. You want to know more about cases that they were involved in and the discussions that the legal team had between themselves and with other Enron employees. You want to know why the cases came to be.
8,"You are interested in people's opinion of the energy industry. You want to know more about what emotions people felt towards energy companies in general and Enron specifically. Sentiments are expressed publicly in many ways such as in articles, websites and press releases."
9,"You are interested in energy price caps. You want to know more about the implementation of these price caps such as what body introduced them, the specifics of the rules and how people thought about them at the time."
10,You are interested in any legal action taken against Enron. You want to know more about how and why any legal action happened and who was involved. You are also interested in what people thought about these events.
11,You are interested in what happened to Enron after they were involved in various scandals. You want to know more about attempts to take over the company by other companies such as Dynegy Inc. You are interested in how successful it was and for what reasons.
12,"You are interested in the energy market of California. You want to know more information on how it was named and how the power exchange system worked. They used an auction-style system, however, there were some limits placed upon this."
13,"You are interested in conferences that Enron was involved in. You want to know more about their subjects, who was involved in them and in what capacity. You want to know how they were discussed in the company."
14,You are interested in the finances of the employees of Enron. You want to know more about what they claimed back from the company and how this process worked. You are also interested how this was documented within the company.
15,You are interested in the Bill Lockyer scandal. You want to know what the subject of this scandal was and how the community reacted to it. You are also interested in who Lockyer was at the time and how this affected him.
16,You are interested in how things were planned at Enron. You want to know more about what types of things were planned in advance such as meetings. You are interested in how much detail went into planning this at Enron.
17,You are interested in the the reliability of energy in the United States. You want to know more about how reliable the energy grid was and are interested in any attempts to maintain the reliability of the grid. You also want to know more the people that were involved in this.
18,You are interested in Enron's contacts in companies and organisations. You want to know more about the roles of these people and who they worked for. You are also interested in the ways in which Enron leveraged these contacts in different situations.
19,You are interested in natural gas. You want to know more information about the prices of natural gas at the time and how this was used to Enron�s advantage. You are also interested in how certain events and structures lead to increased prices.
20,You are interested in how Enron dealt with confidential information and securities trading. You want to know more about the policies that governed this kind of information and the processes that surrounded them. Enron needed to make sure that their employees complied with their rules.
21,You are interested in the electric industry restructuring conference. You would like to know more about what institutions and organisations were involved and about the papers that were presented.
22,You are interested in the body that deals with ensuring the reliability of the energy grid in California. You would like to know more information about what this body is called and what they do. They are an Independent Systems Operator that only deals with the Californian grid.
23,You are interested in how high prices in energy auctions were limited. You want to know more about which body stepped in to attempt to cap the prices and how this was put in place. You want to know about bid mitigation to stop high prices in the energy market.
24,You are interested in the hearings that took place as Enron collapsed. You want to know more about the chair of these meetings and what their position was. You also want to know what their position on Enron and the energy situation at the time.
25,You are interested in what articles were being discussed at Enron. You want to know more about the topics of these articles and who was sending them to who. You also want to know the source of these articles.
26,"Any information relating to events, meetings, news cycles etc being summarised. This is where one employee who knows about the subject provides a succinct breakdown of the situation to someone else so that the reader can quickly gain that knowledge. The summaries can be within the email body or attached to the email. "
