id,text
1,"Any information relating to the energy policy of the United States government. This may include but is not limited to information on prices, regulation, and legislation. Information surrounding the politics and politicians’ involvement with respect to the provision of energy. Enron had a significant stake in the Californian energy market."
2,"Any information relating to press releases; discussions around them, editing them, and approving them. Press releases are documents that explain the company’s position on a subject that are announced to journalists in order to convey this information to the wider public."
3,"Any information relating to legislation that affects Enron. This can be information related to the current laws that they were bound by, or information about changes or possible changes that would affect Enron. Differences in laws between states played a role in their business model. "
4,Any information relating to connections between the Bush family and Enron. George W. Bush was president whilst Enron existed and was under investigation. Enron backed Bush when he ran for Governor of Texas and the deregulation of energy markets happened in the Bush administration. 
5,"Any information relating to the relations that Enron had with external bodies. External bodies are other companies and institutions such as universities and research groups. Information can relate to specific people at either end of the relationship, establishing the relationship, or discussions of joint ventures, amongst other things."
6,"Any information relating to recruiting new people into the company. This can relate to specific situations of people being hired / headhunted or the Enron recruitment process more in general. Graduates were hired as part of their associate and analyst programs and at a higher level, many people were personally recommended or suggested to fill specific roles. "
7,"Any information relating to legal proceedings involving Enron. Communication with lawyers and organising meetings to discuss legal cases that they were involved in was often done over emails. With the high-profile nature of many of these cases, they were often in the news. "
8,"Any information relating to communiqué that sees the energy industry in a negative light. These could be press releases, articles, websites, etc that publicly express negative emotions towards the energy industry; either the industry as a whole or specifically Enron. "
9,Any information relating to the introduction of price caps on energy being sold in the Californian market. The California Independent System Operator (CAISO) introduced an upper limit to the cost of energy per kilowatt-hour. The idea and implementation of the price caps was widely discussed both internally and in the press. 
10,"Any information relating to subpoenas that Enron received. This is where the company is forced, usually by a court, to provide evidence and if they do not then they comply then there are consequences. Enron received multiple subpoenas asking for different pieces of information. "
11,Any information relating to the abandoned takeover of Enron Corp by Dynegy Inc. Dynegy Inc. pulled out of the Merger of the two companies as they obtained new information about the amount of debt that Enron was in. The two companies were previously fierce rivals. 
12,"Any information relating to the California Power Exchange (AKA CalPX, PX). This is the spot market for electricity in California. Every hour the PX took offers of supply and bids for demand and then cleared the market in an auction based on that. Price caps were placed on this system at $250/MWh.  "
13,"Any information relating to conferences; whether it be who is attending, organising one, discussing topics to be spoken about, or finding speakers. Enron organised many conferences related to areas that they worked in; energy conferences and financial mathematics conferences for example."
14,"Any information relating to reports of the money spent by employees that they are applying to claim back from Enron. Expense reports should explain the amount that was spent, where and on what. In order to get the money repaid it must be approved by someone else. "
15,"Any information relating to the inflammatory comments made by then California Attorney General Bill Lockyer in relation to Ken Lay going to prison. The comments were condemned by Republican senators on multiple occasions. Lockyer is quoted in the Wall Street Journal as saying “I would love to personally escort [Enron CEO] Ken Lay to an 8-by-10 cell that he could share with a tattooed dude who says, 'Hi, my name is Spike, honey’.”"
16,"Any information relating to agendas. These are plans that outline what will be discussed at a meeting that are usually written ahead of the meeting and sometimes distributed to the attendees. Agendas can be created by one person, possibly the organiser of the meeting, or they can be a collaborative effort with the participants. "
17,"Any information relating to the North American Electric Reliability Council (NERC). This is a not-for-profit group set up to promote reliable supplies of energy being provided to power grids in North America. At the time, Senator Jeff Bingaman was instrumental in the introduction of the NERCs Electric Reliability Act. "
18,Any information relating to Enron’s contacts in California who are involved in public policy making. Contacts are people that the company knows and can speak to in order to influence the public policy making process. 
19,Any information relating to the price of natural gas. Gas was sold in spot markets in California and this deregulation of the market allowed for high prices for natural gas. In 2001 there were supply issues in the transfer of natural gas which also contributed to the high prices.
20,Any information relating to the Enron policies on confidential information and securities trading. These policies were updated to reflect Enron’s changing business practices and all employees were required to confirm that they would comply with them.  
21,"Any information relating to the conference on the electric industry restructuring that was held on 16/3/01. The conference was a joint venture between Berkley University and Enron, which sponsored the conference. Information could relate to the papers presented at the conference or the organisation of it for example. "
22,"Any information relating to the California Independent Systems Operator (CISO). CISO is an Independent Systems Operator (ISO) that works on ensuring the reliability of energy in California. According to their website, they manage the flow of electricity on high-voltage power lines, operate a wholesale energy market, and oversee infrastructure planning."
23,Any information relating to the Federal Energy Regulatory Commission (FERC) stepping in to stop extremely high prices in spot markets by “mitigating” bids that have been placed. This is related to the regulation of the energy market and the pricing model being used.
24,"Any information relating to Joe Lieberman who, according to Wikipedia was a politician, lobbyist, and attorney who served as a United States senator from Connecticut. He held hearings on the collapse of Enron as Chair of the Senate Homeland Security and Governmental Affairs Committee. "
25,Any information relating to sharing articles between colleagues. This could include people sharing links to articles or could have the entire article copied and pasted into the email. The article can be related to Enron or not. 
26,"Any information relating to events, meetings, news cycles etc being summarised. This is where one employee who knows about the subject provides a succinct breakdown of the situation to someone else so that the reader can quickly gain that knowledge. The summaries can be within the email body or attached to the email. "
27,"Any information relating to meetings being held. This can include internal meetings between employees of Enron, Enron employees meeting with external stakeholders such as Mayors, and references to meetings that are completely outside of the company. “Meetings” can range in formality and simply refers to two or more people coming together to discuss a topic. "
28,Any information relating to investments related to Enron. The company had the Enron Principal Investments branch which was responsible for making investments on behalf of the company. They made investments in a wide number of different areas. Investments are where the company spends money with the view that in the long term this will return more money than they spent. 
29,"Any information relating to Sacramento, California. This is the capital of the state of California and is where the California State Senate is located. Information could relate to things that happened in Sacramento, people going there, or things that are in the city, amongst other things. "
30,Any information relating to the Strategic Sourcing department of Enron. The Global Strategic Sourcing (GSS) department was in charge of purchasing materials and services for Enron Transport Services. This department came under fire for not being effective after a certain point. 
31,"Any information relating to the Financial Mathematics Conferences that took place in London, New York, and Houston over June and July of 2001. They were organised by Joanna Vidal of RiskWaters and speakers included Andrew Cyrus, Peter Nance, and Vince Kaminski. "
32,Any information relating to the creation and/or use of a confidential folder to transfer information between people. Confidential information is as the sender defines so can range greatly in content. The folder was used to transfer information from Enron employees to ex-employees still working on a project. 
33,Any information relating to the Federal Energy Regulatory Commission (FERC) of the United States. The FERC is the agency that regulates the transfer of gas in deals that involve more than one state. The FERC investigated Enron in their Western Energy Markets investigation. 
34,"Any information relating to Analysts at Enron. Analyst was a job title often given to new graduates joining the company. Sub-categories of analysts were varied; financial analysts, technical analysts, and trading analysts for example. Onboarding style events were organised in order to introduce the new analysts to the company and allow them to meet each other. "
35,"Any information relating to the state of California, USA. This is a state where Enron did a lot of business; notably linked to the deregulation of the Californian energy markets which lead to the subsequent energy crisis in the state. Enron also owned power plants in California. "
